,question,answer
191,"คําถาม: คณะกรรมการสภาทนายความมีคำสั่งลงโทษนาย ก. ทนายความ ฐานประพฤติผิดมรรยาททนายความตามข้อบังคับสภาทนายความว่าด้วยมรรยาททนายความ พ.ศ.2529 ข้อ 12(1) และ (2) การกระทำอันเป็นการทอดทิ้งคดีและจงใจละเว้นหน้าที่ที่ควรกระทำอันเกี่ยวแก่การดำเนินคดีแห่งลูกความของตน โดยห้ามทำการเป็นทนายความมีกำหนด 1 ปี นาย ก. ได้รับแจ้งคำสั่งเมื่อวันที่ 1 กันยายน 2556 ต่อมาวันที่ 16 กันยายน 2556 นาย ค. ยื่นคำกล่าวหาความว่า เมื่อวันที่ 10 กันยายน 2556 นาย ก. ได้เข้าเป็นทนายความแก้ต่างคดีอาญาให้นาย ข. ซึ่งมีนาย ค. เป็นทนายความแก้ต่างอยู่แล้ว โดยนายก ค. ไม่ได้ยินยอม และนาย ข. ยังไม่ได้ถอนตัวนาย ค. ออกจากการเป็นทนายความ นาย ค. จึงยื่นคำกล่าวหานาย ก. ต่อประธานกรรมการมรรยาททนายความฐานแย่งคดีตตามข้อบังคับสภาทนายความว่าด้วยมรรยาททนายความ พ.ศ.2529 ข้อ 16 ประฌานกรรมการมรรยาททนายความ จะมีคำสั่งรับเป็นคำกล่าวหาได้หรือไม่

ตัวเลือก:
(1) ไม่ได้ เพราะนาย ก. อยู่ระหว่างถูกลงโทษห้ามทำการเป็นทนายความมีกำหนด 1 ปี
(2) ไม่ได้ เพราะเมื่อนาย ก. ถูกห้ามทำการเป็นทนายความมีกำหนด 1 ปี นั้น ทำให้สถานภาพการเป็นทนายความหมดสิ้นไป
(3) ไม่ได้ ตามข้อ (1) และข้อ (2)
(4) ได้ เพราะการที่นาย ก. อยู่ในระหว่างกูกลงโทษห้ามทำการเป็นทนายความมีกำหนด 1 ปี นั้น สถานภาพการเป็นทนายความของนาย ก. ยังคงมีอยู่ เมื่อกูกล่าวหาว่าประพฤติผิดมรรยาททนายความประธานกรรมการมรรยาททนายความจึงรับเป็นคำกล่าวหาได้",(4) ได้ เพราะการที่นาย ก. อยู่ในระหว่างกูกลงโทษห้ามทำการเป็นทนายความมีกำหนด 1 ปี นั้น สถานภาพการเป็นทนายความของนาย ก. ยังคงมีอยู่ เมื่อกูกล่าวหาว่าประพฤติผิดมรรยาททนายความประธานกรรมการมรรยาททนายความจึงรับเป็นคำกล่าวหาได้
192,"คําถาม: ข้อใดเป็นเหตุให้เจ้าพนักงานบังคับคดีต้องงดการบังคับคดี

ตัวเลือก:
(1) ลูกหนี้ตามคำพิพากษาฟ้องเจ้าหนี้ตามคำพิพากษาฟ้องเจ้าหนี้ตามคำพิพากษาเป็นคดีเรื่องอื่นต่อศาลเดียวกัน หากลูกหนี้ตามคำพิพากษาชนะคดีแล้วสามารถหักกลบลบหนี้กันได้
(2) เจ้าหนี้ตามคำพิพากษาไม่ยอกให้ความช่วยเหลือเจ้าพนักงานบังคับคดี
(3) ศาลมีคำสั่งให้งดการบังคับคดีไว้ชั่วคราว
(4) ถูกทุกข้อ",(1) ศาลมีคำสั่งให้งดการบังคับคดีไว้ชั่วคราว
193,"คําถาม: เจ้าพนักงานบังคับคดีดำเนินการบังคับคดีในข้อใดที่ไม่ชอบด้วยกฎหมาย

ตัวเลือก:
(1) ดำเนินการยึดทรัพย์สินของลูกหนี้ในวันหยุดทำการ
(2) ดำเนินการขายทอดตลาดทรัพย์สินของลูกหนี้ในวันหยุดทำการ
(3) ดำเนินการยึดทรัพย์สินของลูกหนี้ตามคำพิพากษาในวันทำการปกติเวลา 07.30 น.
(4) ดำเนินการขายทอดตลาดทรัพย์สินของลูกหนี้ตามคำพิพากษาในวันทำการปกติเวลา 07.30 น.",(1) ดำเนินการยึดทรัพย์สินของลูกหนี้ในวันหยุดทำการ
194,"คําถาม: ผู้เยาว์ที่อายุ 17 ปีบริบูรณ์ ทำการหมั้นโดยไม่ได้รับการยินยอมจากบิดามารดา ผลจะเป็นอย่างไร

ตัวเลือก:
(1) เป็นโมฆียะ
(2) เป็นโมฆะ
(3) ผลไม่สมบูรณ์
(4) ไม่มีข้อใดถูก",(1) เป็นโมฆียะ
195,"คําถาม: ต่อไปนี้สิ่งใดไม่ใช่อาวธปืนตามพระราชบัญญัติอาวุธปืน เครื่องกระสุนปืน วัตถุระเบิด ดอกไม้เพลิง และสิ่งเที่ยมอาวุธปืน พ.ศ. 2490

ตัวเลือก:
(1) ปืนของเล่น
(2) ลำกล้องปืน
(3) ลูกโม่ปืน
(4) ซองกระสุนปืน",(1) ปืนของเล่น
196,"คําถาม: กฎหมายที่มีขี้นเพื่อจัดให้มีบริการในด้านนิติวิทยาศาสตร์ให้แก่ผู้ที่เกี่ยวข้องเป็นการทั่วไป รวมตลอดทั้งส่งเสริมและพัฒนางานด้านนิติวิทยาศาสตร์ให้ได้มาตราฐานสากล คือ กฎหมายฉบับใด

ตัวเลือก:
(1) กฎกระทรวงแบ่งส่วนราชการสถาบันิติวิทยาศาสตร์ กระทรวงยุติธรรม พ.ศ.2558
(2) พระราชบัญญัติการให้บริการด้านนิติวิทยาศาสตร์ พ.ศ. 2559
(3) ระเบียบสำนักนายกรัฐมนตรีว่าด้วยการสนับสนุนการติดตามคนหายและศพนิรนาม พ.ศ.2558
(4) ถูกทุกข้อ",(2) พระราชบัญญัติการให้บริการด้านนิติวิทยาศาสตร์ พ.ศ. 2559
197,"คําถาม: จำเลยขาดนัดยื่นคำให้การ โจทก์ยื่นคำขอต่อศาลภายในกำหนด 15 วัน นับแต่ระยะเวลาที่กำหนดให้จำเลยยื่นคำให้การได้สิ้นสุด (มาตรา 198 วรรคหนี่ง) ศาลนัดสืบพยานโจทก์ไปฝ่ายเดียว (มาตรา 198 ทวิ วรรคสอง) และหมายแจ้งวันนัดสืบพยานโจทก์ให้จำเลยทราบ (มาตรา 199 วรรคสอง) แต่การส่งหมายดังกล่าวไม่ของด้วยกฎหมาย ในวันนัดไม่มีคู่ความมาศาล ศาลจึงพิพากษายกฟ้อง โดยถือว่าคดีของโจทก์ไม่มูลตามมาตรา 198 ทวิ วรรคท้ายได้หรือไม่

ตัวเลือก:
(1) ได้ เพราะถือว่าโจทก์ไม่นำพนายหลักฐานมาสืบตามที่ศาลกำหนด
(2) ได้ เพราะเป็นอำนาจศาล
(3) ไม่ได้ เพราะศาลต้องจำหน่ายคดี
(4) ไม่ได้ เพราะเมื่อส่งหมายแจ้งวันนัดสืบพยานโจทก์ให้จำเลยไม่ชอบ ศาลไม่อาจสืบพยานได้",(4) ไม่ได้ เพราะเมื่อส่งหมายแจ้งวันนัดสืบพยานโจทก์ให้จำเลยไม่ชอบ ศาลไม่อาจสืบพยานได้
198,"คําถาม: ข้อใดไม่ถูกต้อง

ตัวเลือก:
(1) ในคดีแพ่ง คำพิพากษาหรือคำสั่งของศาลอุทธรณ์เป็นที่สุด
(2) ในคดีแพ่ง การขออนุญาตฎีกาต้องยื่นคำร้องขออนุญาตฎีกาพร้อมกับคำฟ้องฎีกาต่อศาลชั้นต้นภายในกำหนดหนึ่งเดือน
(3) ในคดีแพ่ง ชั้นขออนุญาตฎีกา ศาลชั้นต้นไม่มีอำนายสั่งอนุญาตหรือไม่อนุญาตให้ขยายระยะเวลายื่นคำร้องขออนุญาตฎีกา
(4) ในคดีแพ่ง การฎีกาคำพิพากษาหรือคำสั่งของศาลอุทธรณ์ให้กระทำได้เมื่อได้รับอนุญาตจากศาลฎีกา",(3) ในคดีแพ่ง ชั้นขออนุญาตฎีกา ศาลชั้นต้นไม่มีอำนายสั่งอนุญาตหรือไม่อนุญาตให้ขยายระยะเวลายื่นคำร้องขออนุญาตฎีกา
199,"คําถาม: ข้อใดถูกต้อง

ตัวเลือก:
(1) ในคดีอาญา คำสั่งระหว่างพิจารณาคู่ความต้องโต้แย้งก่อนศาลชั้นต้นมีคำพิพากษา จึงจะใช้สิทธิอุทธรณ์นั้นได้
(2) ในคดีอาญา หากศาลชั้นต้นและศาลอุทธรณ์พิพากษายกฟ้องโจทก์ ห้ามคู่ความฎีกาทั้งในปัญหาข้อเท็จจริงแล้ข้อกฎหมาย
(3) คำสั่งของศาลชั้นต้นที่ไม่เพิกถอนหมายจับผู้ต้องหา ผู้ต้องหามีสิทธิอุทธรณ์ฎีกาได้
(4) คำสั่งขอศาลชั้นต้นที่ปรับนายประกันเด็ดขาด นายประกันอุทธรณ์ฎีกาไม่ได้",(2) ในคดีอาญา หากศาลชั้นต้นและศาลอุทธรณ์พิพากษายกฟ้องโจทก์ ห้ามคู่ความฎีกาทั้งในปัญหาข้อเท็จจริงแล้ข้อกฎหมาย
200,"คําถาม: คำกล่าวที่ว่า “กฎหมายเป็นสิ่งมีชีวิต” ท่านเข้าใจว่าอย่างไร

ตัวเลือก:
(1) กฎหมายเป็นสิ่งที่ดิ้นได้
(2) ประกอบด้วยสังขาร (บทบัญญัติ) และวิญญาณ (เจตนารมณ์)
(3) ใช้บังคับได้ทุกกรณี
(4) ไม่มีข้อใดถูก",(2) ประกอบด้วยสังขาร (บทบัญญัติ) และวิญญาณ (เจตนารมณ์)
201,"คําถาม: เมื่อมีการจับผู้ต้องหา การฟ้องคดีเมื่อพ้นกำหนดวันผัดฟ้องตามกฎหมายต่องได้รับอนุญาตจาก

ตัวเลือก:
(1) ผู้บัญชาการตำรวจแห่งชาติ
(2) อัยการสูงสุด
(3) อธิบดีผู้พิพากษาภาค
(4) นายสภาทนายความ",(2) อัยการสูงสุด
202,"คําถาม: วัตถุพยานประเภทอาวุธปืน ได้แก่

ตัวเลือก:
(1) รอยกระสุนปืน
(2) ธนู
(3) หน้าไม้
(4) คันกระสุน",(1) รอยกระสุนปืน
203,"คําถาม: ฟ้องแย้งทำได้ในคดีประเภทใด

ตัวเลือก:
(1) คดีทุกประเภท
(2) คดีแพ่ง
(3) คดีอาญา
(4) เฉพาะคดีแพ่งและคดีอาญา",(2) คดีแพ่ง
204,"คําถาม: เมื่อศาลพิจารณาฟ้องแย้งแล้ว ไม่มีอำนาจสั่ง

ตัวเลือก:
(1) รับฟ้องแย้ง
(2) ไม่รับฟ้องแย้ง
(3) ให้ไปฟ้องเป็นคดีใหม่
(4) รอไว้สั่งพร้อมพิพากษา",(4) รอไว้สั่งพร้อมพิพากษา
205,"คําถาม: การรวมพิจารณาคดีตามวีพิจารณาความแพ่ง มาตรา 28 มีหลักเกณฑ์สำคัญอย่างไร

ตัวเลือก:
(1) มีคดีหลายเรื่องค้างพิจารณาอยู่ในศาลเดียวกัน
(2) คู่ความทั้งหมด หรือบางส่วนเป็นคู่ความรายเดียวกัน
(3) คดีเกี่ยวเนื่องกัน การรวมจะเป็นการสะดวก
(4) ถูกทุกข้อ",(4) ถูกทุกข้อ
206,"คําถาม: ผู้จัดการมรดกมีสิทธิได้รับบำเหน็จจากกองมรดกหรือไม่

ตัวเลือก:
(1) ไม่มีสิทธิ
(2) มีสิทธิ หากพินัยกรรม กำหนดไว้
(3) มีสิทธิ หากทายาทเสียงข้างมาก กำหนดไว้
(4) ถูกทุกข้อ",(4) ถูกทุกข้อ
207,"คําถาม: หลักในการนินคดีอาญาของพนักงานอัยการ คือ

ตัวเลือก:
(1) หลักกฎหมาย
(2) หลักตุลยพินิจ
(3) (3)  หลักกฎหมายและหลักตุลยพินิจ
(4) (4) ถูกทุกข้อ",(2) หลักตุลยพินิจ
208,"คําถาม: นายเอกเป็นผู้ถือหุ้นของบริษัท มั่นคง จำกัด เป็นโจทก์ฟ้องนายหนึ่งและนายสอง ในฐานะกรรมการของ บริษัทมั่นคง จำกัด เป็นจำเลยในข้อหาละเมิดให้ชดใช้ค่าสินไหมทดแทนกรณีที่บริหารงานให้ บริษัท มั่นคง จำกัด ได้รับความเสียหาย คดีอยู่ในระหว่างพิจารณา นายหนึ่ง และนายสองมาปรึกษาท่านว่าจะสามารถดำเนินคดีกับ นายสาม กรรมการบริษัท มั่นคง จำกัด อีกหนึ่งคนได้หรือไม่ เพราะเหตุใด

ตัวเลือก:
(1) ได้ โดยวิธียื่นคำแถลงขอให้ศาลหมายเรียกเข้ามาเป็นจำเลยร่วม โดยอ้างเหตุว่าได้ร่วมกันกระทำละเมิดต่อบริษัท มั่นคง จำกัด
(2) ได้ โดยวิธียื่นคำร้องจอให้ศาลหมายเรียนกเข้ามาเป็นจำเลยร่วม โดยอ้างเหตุว่าอาจใช้สิทธิไล่เบี้ยได้หากคนแพ้คดี
(3) ไม่ได้ เพราะต้องรอให้ศาลมีคำพิพากษาเสียก่อน จึงจะมีสิทธิไล่เบี้ยนายสามได้
(4) ไม่ได้ เพราะเป็นเรื่องของนายเอก ผู้เสียหายที่มีอำนาจฟ้องนายสามได้เท่านั้น",(2) ได้ โดยวิธียื่นคำร้องจอให้ศาลหมายเรียนกเข้ามาเป็นจำเลยร่วม โดยอ้างเหตุว่าอาจใช้สิทธิไล่เบี้ยได้หากคนแพ้คดี
209,"คําถาม: ข้อความใดถูกต้องที่สุด

ตัวเลือก:
(1) ผู้ต้องหามีสิทธิอุทธรณ์คำสั่งศาลชั้นต้นที่ไม่เพิกถอนหมายจับได้
(2) จำเลยที่ถูกศาลชั้นต้นพิพากษาลงโทษจำคุกและไม่ได้ถูกคุมขัง หากประสงค์จะยื่นอุทธรณ์ต้องมาแสดงคนต่อเจ้าพนักงานศาลในขณะยื่นอุทธรณ์ด้วย
(3) จำเลยที่ถูกศาลขั้นต้นพิพากษาลงโทษกักขังแทนโทษจำคุก และไม่ได้ถูกคุมขังหากประสงค์จะยื่นอุทธรณ์ต้องมาแสดงตนต่อเจ้าพนักงานศาลในขณะยื่นอุทธรณ์ด้วย
(4) ถูกทุกข้อ",(2) จำเลยที่ถูกศาลชั้นต้นพิพากษาลงโทษจำคุกและไม่ได้ถูกคุมขัง หากประสงค์จะยื่นอุทธรณ์ต้องมาแสดงคนต่อเจ้าพนักงานศาลในขณะยื่นอุทธรณ์ด้วย
210,"คําถาม: นาย ก. ทำสัญญาซื้อขายที่ดินพร้อมบ้านจัดสรร โดยเข้าใจขณะทำสัญญาเจ้าของโครงการผู้ขายจะจัดให้มีถนนในโครงการ กว้าง 12 เมตร ตามที่ผู้ขายโฆษณา แต่หลังจากนาย ก. รับโอนกรรมสิทธิ์ที่ดินและบ้านไปแล้วพบว่าถนนในโครงการ กว้าง 10 เมตร ปรากฏว่าตามสัญญาไม่มีข้อตกลงว่าผู้ขายจะจัดให้มีถนนในโครงการที่มีความกว้างตามที่โฆษณา ดังนี้ นาย ก. จะต่อสู้ว่าผู้ขายเจ้าของโครงการผิดสัญญาได้หรือไม่ เพราะเหตุใด

ตัวเลือก:
(1) ไม่ได้ เพราะไม่มีข้อตกลงเช่นนี้ในสัญญา
(2) ไม่ได้ เพราะเป็นกรณีผิดโฆษณา
(3) ได้ เพราะข้อความโฆษณาถือเป็นส่วนหนึ่งของสัญญา
(4) ได้ เพราะผู้ขายไม่จัดทำตามที่โฆษณา",(3) ได้ เพราะข้อความโฆษณาถือเป็นส่วนหนึ่งของสัญญา
211,"คําถาม: ข้อใดถูกต้องเกี่ยวกับการให้บริการขอสถาบันนิติวิทยาศาสตร์

ตัวเลือก:
(1) สถาบันฯ สามารถเก็บค่าธรรมเนียมจากพนักงานสอบสวนที่ส่งตรวจพิสูจน์ แต่อาจลดหยอนหรืองดเก็บได้
(2) สถาบันฯ สามารถเก็บค่าธรรมเนียมจากหน่วยงานต่างๆ ที่ส่งตรวจพิสูจน์ แต่อาจลดหยอนหรืองดเก็บได้
(3) สถาบันฯ สามารถเก็บค่าธรรมเนียมจากประชาชนที่ส่งตรวจพิสูจน์ แต่อาจลดหย่อนหรืองดเก็บได้
(4) สถาบันฯ ไม่สามารถเก็นค่าธรรมเนียมการตรวจพิสูจน์จากผู้ใด",(3) สถาบันฯ สามารถเก็บค่าธรรมเนียมจากประชาชนที่ส่งตรวจพิสูจน์ แต่อาจลดหย่อนหรืองดเก็บได้
212,"คําถาม: ทนายความที่ถูกสภาทนายความมีคำสั่งลงโทษห้ามทำการเป็นทนายความ คดีอยู่ระหว่างการยื่นอุทธรณ์ต่อสภานายกพิเศษ สามารถทำหน้าที่ทนายความได้หรือไม่

ตัวเลือก:
(1) ได้ เพราะคดียังไม่ถุงที่สุด
(2) ได้ เพราะเมื่อสภานายกพิเศษมีคำสั่งอย่างใด ยังสามารถยื่นฟ้องต่อศาลปกครองได้อีก
(3) ไม่ได้ ต้องรอผลคำสั่งของสภานายกพิเศษแห่งสภาทนายความก่อน
(4) ไม่ได้ เพราะเป็นคำสั่งอันถึงที่สุดของสภาทนายความ",(4) ไม่ได้ เพราะเป็นคำสั่งอันถึงที่สุดของสภาทนายความ
213,"คําถาม: ทนายความพิมพ์นามบัตร ว่าตนมีความสามารถพิเศษยิ่งกว่าทนายความคนอื่น

ตัวเลือก:
(1) ไม่ผิดมรรยาททนายความ เป็นสิทธิส่วนบุคคลที่จะพึงกระทำได้
(2) ไม่ผิดมรรยาททนายความ เพราะมีความสามารถเช่นว่านั้นจริง
(3) ผิดมรรยาททนายความเป็นการชักชวนให้ผู้มีอรรถคดีมาว่าจ้างให้เป็นทนายความ
(4) ผิดมรรยาททนายความเป็นการหลอกลวง เพราะไม่เป็นการแน่นอนว่าคดีจะชนะเสมอไป",(3) ผิดมรรยาททนายความเป็นการชักชวนให้ผู้มีอรรถคดีมาว่าจ้างให้เป็นทนายความ
214,"คําถาม: ทนายความรับว่าความให้โจทก์ ตกลงค่าทนายความ 10,000 บาท ได้รับแล้ว 5,000 บาท คดีมีการทำสัญญาประนีประนอมความกัน จำเลยในคดีได้นำเงินมาชำระตามสัญญายอม 5,000 บาท ทนายความจำนำเงินที่ได้มาหักกับเงินค่าทนายความที่ค้างได้หรือไม่

ตัวเลือก:
(1) ไม่ได้ เพราะเงินที่ได้รับมาเป็นการรับแทนตัวความต้องส่งคืนให้ตัวความก่อน
(2) ได้ เพราะตัวความจะต้องจ่ายเงินค่าทนายความที่เหลือ
(3) ได้ เพราะทนายความมีสิทธิหักกลบลบหนี้
(4) ได้ เพราะเป็นการเก็บเงินค่าทนายความไม่เป็นฉ้อโกงหรือตระบัตสินลูกความ",(1) ไม่ได้ เพราะเงินที่ได้รับมาเป็นการรับแทนตัวความต้องส่งคืนให้ตัวความก่อน
215,"คําถาม: โจทก์ฟ้องว่าโจทก์มีสิทธิครอบครองที่ดินตามหนังสือรับรองการทำประโยชน์ (น.ส.3 กJ ได้รับการสันนิษฐานว่าเป็นผู้มีสิทธิครอบครองที่ดินนั้นตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1373 จำเลยบุกรุกเข้าครอบครองที่ดินของโจทก์ของให้ขับไล่ จำเลยให้การว่า เดิมที่ดินพิพาทเป็นที่รกร้างว่าเปล่าจำเลยเข้าครอบครองทำประโยชน์มาโดยตลอด ได้รับการสันนิษฐานว่ามีสิทธิครอบครองตามมาตรา 1369 ประกอบมาตรา 1367 เปิดเผยตามมาตรา 1375 แล้ว โจทก์จึงไม่มีอำนาจฟ้อง ขอให้ยกฟ้อง ดังนั้นข้อใดกำหนดประเด็นข้อพิพาทและภาระการพิสูจน์ถูกต้องที่สุด

ตัวเลือก:
(1) ที่ดินพิพาทเป็นของโจทก์หรือไม่ ภาระการพิสูจน์ตกแก่โจทก์
(2) ที่ดินพิพาทเป็นของโจทก์หรือไม่ ภาระการพิสูจน์ตกแก่จำเลย
(3) ที่ดินพิพาทเป็นของโจทก์หรือไม่ ภาระการพิสูจน์ตกแก่โจทก์ และจำเลยแย่งการครอบครองที่ดิพิพาทแล้วหรือไม่ ภาระการพิสูจน์ตกแก่จำเลย
(4) ที่ดินพิพาทเป็นของโจทก์หรือไม่ และจำเลยแย่งการครอบครองที่ดินพิพาทแล้วหรือไม่ภาระการพิสูจน์ตกแก่จำเลยทั้งสองประเด็น",(2) ที่ดินพิพาทเป็นของโจทก์หรือไม่ ภาระการพิสูจน์ตกแก่จำเลย
216,"คําถาม: ถ้าคู่ความฝ่ายใดที่ไม่มาศาลในวันชี้สองสถานจะเสียสิทธิอย่างไรบ้าง

ตัวเลือก:
(1) ไม่มีสิทธิคัดค้านว่าประเด็นข้อพิพาทที่ศาลกำหนดไว้นั้นไม่ถูกต้อง
(2) ไม่มีสิทธิคัดค้านว่าหน้าที่นำสืบที่ศาลกำหนดไว้นั้นไม่ถูกต้อง
(3) ไม่สิทธิคัดค้านว่าไม่ทราบกระบวนพิจารณาในวันชี้สองสถาน
(4) ถูกทุกข้อ",(4) ถูกทุกข้อ
217,"คําถาม: คำให้การปฏิเสธลอยหมายถึง

ตัวเลือก:
(1) คำให้การปฏิเสธที่ยกขึ้นปฏิเสธฟ้องโจทก์ โดยไม่แสดงเหตุผล แต่ให้จำเลยนำพยานเข้าสืบแสดงเหตุผลภายหลังได้ แต่โจทก์ยังมีหน้าที่นำสืบข้อเท็จจริงตามคำฟ้อง
(2) คำให้การปฏิเสธที่ยกขึ้นปฏิเสธฟ้องโจทก์ โดยแสดงเหตุผล และให้จำเลยนำพยานเข้าสืบภายหลังแต่โจทก์ยังมีหน้าที่นำสืบข้อเท็จจริงตามคำฟ้อง
(3) คำให้การปฏิเสธที่ยกขั้นปฏิเสธฟ้องโจทก์ โดยไม่แสดงเหตุผล จำเลยจึงไม่ประเด็นนำสืบแต่โจทก์ก็ยังต้องมีหน้าที่นำสืบข้อเท็จจริงตามคำฟ้อง
(4) คำให้การปฏิเสธที่ยกขึ้นปฏิเสธฟ้องโจทก์ โดยไม่แสดงเหตุผล จำเลยจึงไม่มีประเด็นนำสืบโจทก์ก็ไม่ต้องนำสืบข้อเท็จจริงตามคำฟ้อง",(3) คำให้การปฏิเสธที่ยกขั้นปฏิเสธฟ้องโจทก์ โดยไม่แสดงเหตุผล จำเลยจึงไม่ประเด็นนำสืบแต่โจทก์ก็ยังต้องมีหน้าที่นำสืบข้อเท็จจริงตามคำฟ้อง
218,"คําถาม: จำเลยจะฟ้องแย้งมาในคำให้การได้หรือไม่

ตัวเลือก:
(1) ไม่ได้ หากฟ้องมาให้ศาลสั่งให้จำเลยฟ้องเป็นคดีต่างหาก
(2) ได้ หากฟ้องมาให้ศาลสั่งให้จำเลยฟ้องเป็นคดีต่างหาก
(3) ได้ แม้ฟ้องแย้งไม่เกี่ยวกับฟ้อมเดิม
(4) ได้ แต่ฟ้องแย้งต้องเกี่ยวกับคำฟ้องเดิม",(4) ได้ แต่ฟ้องแย้งต้องเกี่ยวกับคำฟ้องเดิม
219,"คําถาม: การมีคำสั่งเด็ดขาดไม่ฟ้องของพนักงานอัยการมีผลในทางกฎหมายอย่างไร

ตัวเลือก:
(1) ผู้ต้องหาเป็นผู้บริสุทธิ์พ้นจากข้อกล่าวหาตลอดไป
(2) ผู้ต้องหายังมิได้พ้นจากข้อกล่าวหาโดยเด็ดขาดเพียงแต่ขณะนั้นรัฐยังไม่สามารถแสวงหาพยานหลักฐานมาพิสูจน์ความผิดได้เท่านั้น
(3) รัฐไม่ประสงค์จะดำเนินคดีกับผู้ต้องหาอีกต่อไป
(4) หลังจากมีคำสั่งเด็ดขาดไม่ฟ้องแล้วผู้เสียหายเริ่มมีสิทธิฟ้องผู้ต้องหาได้โดยตรง",(2) ผู้ต้องหายังมิได้พ้นจากข้อกล่าวหาโดยเด็ดขาดเพียงแต่ขณะนั้นรัฐยังไม่สามารถแสวงหาพยานหลักฐานมาพิสูจน์ความผิดได้เท่านั้น
220,"คําถาม: การดำเนินมาตรการริบทรัพย์ในทางแพ่งตามกฎหมายฟอกเงิน สามารถดำเนินการทรัพย์สินของผู้กระทำความผิดมูลฐานย้อนหลังขึ้นไป ซึ่งเป็นช่วงก่อนวันที่ผู้กระทำความผิดจะถูกจับกุมดำเนินคดีความผิดมูลฐานได้หรือไม่

ตัวเลือก:
(1) ไม่ได้ เนื่องจากมีลักษณะเป็นโทษริบทรัพย์ทางอาญา
(2) ได้ หากปรากฏพยานหลักฐานเกี่ยวกับพฤติการณ์กระทำความผิดมูลฐานและมีการได้ไปซึ่งทรัพย์สินดังกล่าว
(3) ไม่ได้ เนื่องจากศาลฎีกาและศาลรัฐธรรมนูญได้วินิจฉัยว่าเป็นการไม่ชอบด้วยกฎหมาย
(4) ผิดทุกข้อ",(2) ได้ หากปรากฏพยานหลักฐานเกี่ยวกับพฤติการณ์กระทำความผิดมูลฐานและมีการได้ไปซึ่งทรัพย์สินดังกล่าว
221,"คําถาม: กรณีต่อไปนี้ข้อใดไม่ถูกต้อง

ตัวเลือก:
(1) ศาลแขวง ผู้พิพากษาที่พิจารณาต้องมี 1 คนเท่านั้น
(2) ศาลแขวง พิจารณาคดีอาญาที่ผู้ต้องหารับสารภาพชั้นสอบสวนโดยใช้บันทึกคำฟ้องด้วยวาจา
(3) คดีไม่มีทุนทรัพย์ ฟ้องต่อศาลแขวงไม่ได้
(4) ศาลแขวง พิจารณาคดีได้ทั้งคดีแพ่งและคดีอาญา",(1) ศาลแขวง ผู้พิพากษาที่พิจารณาต้องมี 1 คนเท่านั้น
222,"คําถาม: ในบทบัญญัติเรื่องพินัยกรรม ข้อใดถูกต้อง

ตัวเลือก:
(1) บุคคลที่มีอายุต่ำกว่า 15 ปีย่อมทำพินัยกรรมได้
(2) สามีภริยาสามารถทำพินัยกรรมเกี่ยวกับสินสมรสได้ทั้งหมด
(3) ผู้เป็นพยานในพินัยกรรมจะรับทรัพย์มรดกตามพินัยกรรมไม่ได้
(4) เป็นการแสดงเจตนากำหนดเผื่อตายในเรื่องทรัพย์สินของผู้ทำพินัยกรรมเท่านั้น",(3) ผู้เป็นพยานในพินัยกรรมจะรับทรัพย์มรดกตามพินัยกรรมไม่ได้
223,"คําถาม: สิ่งต่อไปนี้ ข้อใดถือว่าเป็นอาวุธปืนที่นายทะเบียนอาวุทปืนไม่สามารถออกใบอนุญาตได้

ตัวเลือก:
(1) ปืนแก๊ป
(2) ปืนยิงพลุสัญญาณ
(3) ปืนลูกซอง
(4) ปืนกลมือ",(4) ปืนกลมือ
224,"คําถาม: การยื่นคำกล่าวหาว่าทนายความประพฤติผิดมรรยาททนายความ กำหนดให้ทำเป็นหนังสือยื่นต่อผู้ใด

ตัวเลือก:
(1) นายกสภานายความ
(2) เลขาธิการสภาทนายความ
(3) ประธานกรรมการมรรยาททนายความ
(4) ประธานคณะกรรมการสอบสวนคดีมรรยาททนายความ",(3) ประธานกรรมการมรรยาททนายความ
225,"คําถาม: บุคคลใดเป็นผู้มีส่วนได้เสียในผลแห่งคดี ตามประมวลกฎหมายวิธีพิจารณาความแพ่ง มาตรา 57(2)

ตัวเลือก:
(1) เจ้าของร่วมแต่ละคน
(2) หุ้มส่วนในห้างหุ้มส่วนที่จดทะเบียนเป็นนิติบุคคล
(3) ลูกจ้างหรือนายจ้าง ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 425
(4) ถูกทั้งข้อ (1) และ ข้อ (3)",(4) ถูกทั้งข้อ (1) และ ข้อ (3)
226,"คําถาม: การเรียงเขียนฟ้องแย้งต้องใช้แบบพิมพ์ศาลชนิดใด

ตัวเลือก:
(1) แบบพิมพ์คำให้การ
(2) แบบพิมพ์คำแถลง
(3) (3) แบบพิมพ์คำฟ้อง
(4) (4) ถูกทั้งข้อ (1) และ ข้อ (2)",(1) แบบพิมพ์คำให้การ
227,"คําถาม: พนักงานอัยการอาจถูกตรวจสอบได้จาก

ตัวเลือก:
(1) ศาล
(2) ผู้เสียหาย
(3) องค์การต่างๆ
(4) ถูกทุกข้อ",(4) ถูกทุกข้อ
